-2068,-15,38,-1,3,-2,165,2,152
-2065,-16,39,0,3,-2,164,2,152
-2065,-16,40,0,3,-2,166,2,152
-2066,-16,40,0,3,-2,166,2,152
-2065,-16,40,-1,2,-2,165,2,152
-2064,-14,39,0,2,-2,166,2,152
-2065,-16,41,0,2,-2,166,2,150
-2066,-16,37,0,3,-2,166,2,152
-2065,-16,40,0,2,-1,165,2,152
-2067,-14,40,-1,2,-2,166,2,152
-2066,-17,39,-1,3,-2,164,2,152
-2064,-16,39,0,3,-2,164,2,152
-2066,-15,38,0,3,-2,166,4,152
-2066,-15,40,0,3,-2,166,2,150
-2065,-16,42,-1,3,-2,166,2,152
-2067,-14,40,0,2,-2,166,2,152
-2065,-14,39,1,3,-2,166,2,152
-2065,-14,40,0,3,-2,164,2,150
-2065,-15,38,0,3,-2,166,2,152
-2064,-15,40,0,3,-2,166,2,152
-2066,-15,40,0,3,-2,166,2,152
-2065,-16,39,-1,3,-2,165,2,152
-2063,-17,40,0,4,-2,166,2,150
-2066,-15,39,0,2,-2,165,2,150
-2067,-14,40,-1,4,-3,166,2,154
-2068,-16,39,0,3,-2,165,2,152
-2067,-16,40,0,3,-1,164,2,150
-2066,-16,41,-1,2,-2,165,2,150
-2067,-15,39,0,3,-2,165,4,150
-2064,-14,40,0,2,-2,166,2,150
-2065,-16,39,0,3,-2,166,2,152
-2066,-15,39,0,3,-2,164,2,150
-2065,-14,40,0,3,-2,165,2,152
-2067,-16,39,0,3,-2,164,2,152
-2065,-16,39,0,3,-2,165,2,152
-2066,-17,39,0,3,-1,166,4,152
-2067,-16,36,-1,2,-2,165,2,152
-2064,-17,40,-1,3,-1,165,2,152
-2065,-16,41,0,3,-2,165,2,152
-2067,-17,38,-1,3,-1,165,2,152
-2065,-15,39,-1,3,-2,166,2,152
-2064,-17,39,0,2,-1,165,2,152
-2065,-16,40,-1,2,-2,165,2,150
-2065,-15,41,0,2,-2,165,4,150
-2066,-17,37,0,2,-2,165,4,150
-2065,-17,40,0,3,-2,166,2,152
-2064,-16,39,0,2,-2,165,2,152
-2065,-16,40,0,2,-2,166,2,152
-2066,-16,41,0,4,-2,166,2,152
-2065,-14,41,0,3,-2,165,2,152
-2065,-15,40,0,2,-2,166,2,152
-2067,-15,40,0,2,-2,167,4,152
-2066,-15,39,-1,2,-2,165,2,152
-2066,-16,40,0,3,-2,165,4,150
-2065,-15,39,0,2,-2,166,2,152
-2066,-15,38,0,3,-2,165,2,152
-2064,-15,40,0,2,-2,166,2,152
-2065,-16,39,-1,3,-1,166,2,150
-2067,-16,39,0,3,-1,166,2,150
-2065,-16,42,0,2,-2,165,2,150
